date,shift,pump,raw_text,clean_text,Seal_Issue,Low_Level,Pressure_Issue,Trip_Issue,Flow_Issue,Maintenance_Event,Mode_Event,Total_Failure,event,history,month
2025-06-12,Night,P306A,p-306a | bin 3 p-306a pm,p-306a | bin 3 p-306a pm,0,0,0,0,0,1,0,0,Maintenance,2025-06-12 | Night | Maintenance,June-2025
2025-06-13,Day,P201A,flushed out piping from p-201 to the mid section going through lv-7209 using bfw.,flushed out piping from p-201 to the mid section going through lv-7209 using bfw.,0,0,0,0,0,1,0,0,Maintenance,2025-06-13 | Day | Maintenance,June-2025
2025-06-13,Day,P201B,flushed out piping from p-201 to the mid section going through lv-7209 using bfw.,flushed out piping from p-201 to the mid section going through lv-7209 using bfw.,0,0,0,0,0,1,0,0,Maintenance,2025-06-13 | Day | Maintenance,June-2025
2025-06-13,Day,P26B,swapped p-26b to p-26a pump due to discharge pressure falling off. | flushed out p-26b.,swapped p-26b to p-26a pump due to discharge pressure falling off. | flushed out p-26b.,0,0,0,0,0,1,1,0,Maintenance,2025-06-13 | Day | Maintenance,June-2025
2025-06-13,Day,P306A,bin 3 p-306-a pump (pm/repair) | bin 3 p-306-a pump (pm/repair) | bin 3 p-306a,bin 3 p-306-a pump (pm/repair) | bin 3 p-306-a pump (pm/repair) | bin 3 p-306a,0,0,0,0,0,1,0,0,Maintenance,2025-06-13 | Day | Maintenance,June-2025
2025-06-13,Day,P306B,bin 3 p-306-a pump (pm/repair),bin 3 p-306-a pump (pm/repair),0,0,0,0,0,1,0,0,Maintenance,2025-06-13 | Day | Maintenance,June-2025
2025-06-13,Day,P306S,bin 3 p-306-a pump (pm/repair),bin 3 p-306-a pump (pm/repair),0,0,0,0,0,1,0,0,Maintenance,2025-06-13 | Day | Maintenance,June-2025
2025-06-14,Night,P203A,bin 2 p-203-a seal replacement | bin 2 p-203-a seal replacement,bin 2 p-203-a seal replacement | bin 2 p-203-a seal replacement,1,0,0,0,0,0,0,1,Seal Failure,2025-06-14 | Night | Seal Failure,June-2025
2025-06-14,Night,P203B,bin 2 p-203-a seal replacement,bin 2 p-203-a seal replacement,1,0,0,0,0,0,0,1,Seal Failure,2025-06-14 | Night | Seal Failure,June-2025
2025-06-14,Night,P204A,back flushed p-204-c lube oil cooler,back flushed p-204-c lube oil cooler,0,0,0,0,0,1,0,0,Maintenance,2025-06-14 | Night | Maintenance,June-2025
2025-06-14,Night,P204B,back flushed p-204-c lube oil cooler,back flushed p-204-c lube oil cooler,0,0,0,0,0,1,0,0,Maintenance,2025-06-14 | Night | Maintenance,June-2025
2025-06-14,Night,P204C,back flushed p-204-c lube oil cooler | back flushed p-204-c lube oil cooler,back flushed p-204-c lube oil cooler | back flushed p-204-c lube oil cooler,0,0,0,0,0,1,0,0,Maintenance,2025-06-14 | Night | Maintenance,June-2025
2025-06-14,Night,P204S,back flushed p-204-c lube oil cooler,back flushed p-204-c lube oil cooler,0,0,0,0,0,1,0,0,Maintenance,2025-06-14 | Night | Maintenance,June-2025
2025-06-15,Night,P203A,bin 2 p-203-a seal replacement | bin 2 p-203-a seal replacement,bin 2 p-203-a seal replacement | bin 2 p-203-a seal replacement,1,0,0,0,0,0,0,1,Seal Failure,2025-06-15 | Night | Seal Failure,June-2025
2025-06-15,Night,P203B,bin 2 p-203-a seal replacement,bin 2 p-203-a seal replacement,1,0,0,0,0,0,0,1,Seal Failure,2025-06-15 | Night | Seal Failure,June-2025
2025-06-17,Day,P30A,p30 seal pot pressure,p30 seal pot pressure,1,0,0,0,0,0,0,1,Seal Failure,2025-06-17 | Day | Seal Failure,June-2025
2025-06-17,Day,P30B,p30 seal pot pressure,p30 seal pot pressure,1,0,0,0,0,0,0,1,Seal Failure,2025-06-17 | Day | Seal Failure,June-2025
2025-06-17,Night,P204B,finished loto on p204b and hung blind tags. purged to flare all night. ready for maintenance in the morning | bin #6 p-204b,finished loto on p204b and hung blind tags. purged to flare all night. ready for maintenance in the morning | bin #6 p-204b,0,0,0,0,0,1,0,0,Maintenance,2025-06-17 | Night | Maintenance,June-2025
2025-06-17,Night,P306A,bin 3 p-306-a pump (pm/repair) | bin 3 p-306-a pump (pm/repair) | bin 3 p-306a,bin 3 p-306-a pump (pm/repair) | bin 3 p-306-a pump (pm/repair) | bin 3 p-306a,0,0,0,0,0,1,0,0,Maintenance,2025-06-17 | Night | Maintenance,June-2025
2025-06-17,Night,P306B,bin 3 p-306-a pump (pm/repair),bin 3 p-306-a pump (pm/repair),0,0,0,0,0,1,0,0,Maintenance,2025-06-17 | Night | Maintenance,June-2025
2025-06-17,Night,P306S,bin 3 p-306-a pump (pm/repair),bin 3 p-306-a pump (pm/repair),0,0,0,0,0,1,0,0,Maintenance,2025-06-17 | Night | Maintenance,June-2025
2025-06-17,Night,P30A,p30 seal pot pressure,p30 seal pot pressure,1,0,0,0,0,0,0,1,Seal Failure,2025-06-17 | Night | Seal Failure,June-2025
2025-06-17,Night,P30B,p30 seal pot pressure,p30 seal pot pressure,1,0,0,0,0,0,0,1,Seal Failure,2025-06-17 | Night | Seal Failure,June-2025
2025-06-18,Day,P204A,-backflushed p-204 a and c lube oil coolers | -backflushed p-204 a and c lube oil coolers,-backflushed p-204 a and c lube oil coolers | -backflushed p-204 a and c lube oil coolers,0,0,0,0,0,1,0,0,Maintenance,2025-06-18 | Day | Maintenance,June-2025
2025-06-18,Day,P204B,bin 6 p204b- pump bowl repair. | -backflushed p-204 a and c lube oil coolers | bin 6 p-204b,bin 6 p204b- pump bowl repair. | -backflushed p-204 a and c lube oil coolers | bin 6 p-204b,0,0,0,0,0,1,0,0,Maintenance,2025-06-18 | Day | Maintenance,June-2025
2025-06-18,Day,P204C,-backflushed p-204 a and c lube oil coolers,-backflushed p-204 a and c lube oil coolers,0,0,0,0,0,1,0,0,Maintenance,2025-06-18 | Day | Maintenance,June-2025
2025-06-18,Day,P204S,-backflushed p-204 a and c lube oil coolers,-backflushed p-204 a and c lube oil coolers,0,0,0,0,0,1,0,0,Maintenance,2025-06-18 | Day | Maintenance,June-2025
2025-06-18,Day,P30A,p30 seal pot pressure,p30 seal pot pressure,1,0,0,0,0,0,0,1,Seal Failure,2025-06-18 | Day | Seal Failure,June-2025
2025-06-18,Day,P30B,p30 seal pot pressure,p30 seal pot pressure,1,0,0,0,0,0,0,1,Seal Failure,2025-06-18 | Day | Seal Failure,June-2025
2025-06-19,Day,P204A,backflushed p-204 a and c lube oil coolers | backflushed p-204 a and c lube oil coolers,backflushed p-204 a and c lube oil coolers | backflushed p-204 a and c lube oil coolers,0,0,0,0,0,1,0,0,Maintenance,2025-06-19 | Day | Maintenance,June-2025
2025-06-19,Day,P204B,backflushed p-204 a and c lube oil coolers | bin 6 p-204b,backflushed p-204 a and c lube oil coolers | bin 6 p-204b,0,0,0,0,0,1,0,0,Maintenance,2025-06-19 | Day | Maintenance,June-2025
2025-06-19,Day,P204C,backflushed p-204 a and c lube oil coolers,backflushed p-204 a and c lube oil coolers,0,0,0,0,0,1,0,0,Maintenance,2025-06-19 | Day | Maintenance,June-2025
2025-06-19,Day,P204S,backflushed p-204 a and c lube oil coolers,backflushed p-204 a and c lube oil coolers,0,0,0,0,0,1,0,0,Maintenance,2025-06-19 | Day | Maintenance,June-2025
2025-06-19,Night,P204C,flushed p-204c lube oil cooler,flushed p-204c lube oil cooler,0,0,0,0,0,1,0,0,Maintenance,2025-06-19 | Night | Maintenance,June-2025
2025-06-19,Night,P306A,p-306a | bin 3 p-306a pm,p-306a | bin 3 p-306a pm,0,0,0,0,0,1,0,0,Maintenance,2025-06-19 | Night | Maintenance,June-2025
2025-06-20,Day,P204A,backflushed p-204 a and c lube oil coolers | backflushed p-204 a and c lube oil coolers,backflushed p-204 a and c lube oil coolers | backflushed p-204 a and c lube oil coolers,0,0,0,0,0,1,0,0,Maintenance,2025-06-20 | Day | Maintenance,June-2025
2025-06-20,Day,P204B,p-204b | bin 6 p-204b pump repair | backflushed p-204 a and c lube oil coolers | bin 6 p-204b,p-204b | bin 6 p-204b pump repair | backflushed p-204 a and c lube oil coolers | bin 6 p-204b,0,0,0,0,0,1,0,0,Maintenance,2025-06-20 | Day | Maintenance,June-2025
2025-06-20,Day,P204C,flushed p-204c lube oil cooler | backflushed p-204 a and c lube oil coolers,flushed p-204c lube oil cooler | backflushed p-204 a and c lube oil coolers,0,0,0,0,0,1,0,0,Maintenance,2025-06-20 | Day | Maintenance,June-2025
2025-06-20,Day,P204S,backflushed p-204 a and c lube oil coolers,backflushed p-204 a and c lube oil coolers,0,0,0,0,0,1,0,0,Maintenance,2025-06-20 | Day | Maintenance,June-2025
2025-06-22,Day,P204A,backflushed p-204 a and c lube oil coolers | backflushed p-204 a and c lube oil coolers,backflushed p-204 a and c lube oil coolers | backflushed p-204 a and c lube oil coolers,0,0,0,0,0,1,0,0,Maintenance,2025-06-22 | Day | Maintenance,June-2025
2025-06-22,Day,P204B,p-204b | bin 6 p-204b pump repair | backflushed p-204 a and c lube oil coolers | bin 6 p-204b,p-204b | bin 6 p-204b pump repair | backflushed p-204 a and c lube oil coolers | bin 6 p-204b,0,0,0,0,0,1,0,0,Maintenance,2025-06-22 | Day | Maintenance,June-2025
2025-06-22,Day,P204C,flushed p-204c lube oil cooler | backflushed p-204 a and c lube oil coolers,flushed p-204c lube oil cooler | backflushed p-204 a and c lube oil coolers,0,0,0,0,0,1,0,0,Maintenance,2025-06-22 | Day | Maintenance,June-2025
